capacity,arm,m1,m2
2,HC_LI,106.0,178.0
2,HC_LI,131.0,174.0
2,HC_LI,121.0,223.0
2,HC_LI,125.0,179.0
2,HC_LI,100.0,183.0
2,HC_LI,106.0,150.0
2,HC_LI,135.0,143.0
2,HC_LI,106.0,121.0
2,HC_LI,125.0,169.0
2,HC_LI,111.0,169.0
2,HC_LI,115.0,199.0
2,HC_LI,105.0,135.0
2,HC_LI,101.0,158.0
2,HC_LI,135.0,198.0
2,HC_LI,116.0,165.0
2,HC_LI,101.0,135.0
2,HC_LI,125.0,188.0
2,HC_LI,120.0,140.0
2,HC_LI,130.0,179.0
2,HC_LI,131.0,140.0
2,HC_LI,116.0,178.0
2,HC_LI,116.0,165.0
2,HC_LI,111.0,194.0
2,HC_LI,111.0,179.0
2,HC_LI,111.0,126.0
2,HC_LI,101.0,140.0
2,HC_LI,131.0,194.0
2,HC_LI,111.0,169.0
2,HC_LI,96.0,149.0
2,HC_LI,141.0,223.0
2,HC_LI,125.0,174.0
2,HC_LI,101.0,149.0
2,HC_LI,96.0,155.0
2,HC_LI,126.0,194.0
2,HC_LI,96.0,155.0
2,HC_LI,126.0,184.0
2,HC_LI,111.0,178.0
2,HC_LI,131.0,193.0
2,HC_LI,140.0,193.0
2,HC_LI,96.0,155.0
2,HC_LI,100.0,154.0
2,HC_LI,116.0,183.0
2,HC_LI,106.0,154.0
2,HC_LI,130.0,179.0
2,HC_LI,121.0,149.0
2,HC_LI,112.0,148.0
2,HC_LI,106.0,173.0
2,HC_LI,101.0,149.0
2,HC_LI,115.0,203.0
2,HC_LI,141.0,208.0
2,HC_LI,130.0,168.0
2,HC_LI,130.0,179.0
2,HC_LI,125.0,179.0
2,HC_LI,82.0,139.0
2,HC_LI,120.0,188.0
2,HC_LI,135.0,143.0
2,HC_LI,101.0,163.0
2,HC_LI,126.0,198.0
2,HC_LI,141.0,154.0
2,HC_LI,121.0,189.0
2,HC_LI,135.0,183.0
2,HC_LI,106.0,150.0
2,HC_LI,125.0,174.0
2,HC_LI,115.0,134.0
2,HC_LI,126.0,199.0
2,HC_LI,106.0,150.0
2,HC_LI,131.0,154.0
2,HC_LI,126.0,153.0
2,HC_LI,96.0,150.0
2,HC_LI,106.0,159.0
2,HC_LI,131.0,208.0
2,HC_LI,111.0,169.0
2,HC_LI,101.0,178.0
2,HC_LI,121.0,149.0
2,HC_LI,106.0,140.0
2,HC_LI,97.0,179.0
2,HC_LI,116.0,150.0
2,HC_LI,101.0,154.0
2,HC_LI,97.0,170.0
2,HC_LI,115.0,136.0
2,HC_LI,115.0,129.0
2,HC_LI,111.0,194.0
2,HC_LI,141.0,208.0
2,HC_LI,101.0,173.0
2,HC_LI,106.0,160.0
2,HC_LI,101.0,135.0
2,HC_LI,86.0,144.0
2,HC_LI,106.0,130.0
2,HC_LI,105.0,153.0
2,HC_LI,116.0,169.0
2,HC_LI,106.0,160.0
2,HC_LI,126.0,145.0
2,HC_LI,116.0,118.0
2,HC_LI,115.0,203.0
2,HC_LI,111.0,163.0
2,HC_LI,106.0,121.0
2,HC_LI,97.0,164.0
2,HC_LI,111.0,153.0
2,HC_LI,126.0,145.0
2,HC_LI,121.0,199.0
2,HC_LI,116.0,174.0
2,HC_LI,121.0,119.0
2,HC_LI,112.0,148.0
2,HC_LI,106.0,140.0
2,HC_LI,101.0,183.0
2,HC_LI,145.0,223.0
2,HC_LI,101.0,150.0
2,HC_LI,106.0,154.0
2,HC_LI,100.0,183.0
2,HC_LI,121.0,149.0
2,HC_LI,106.0,130.0
2,HC_LI,131.0,193.0
2,HC_LI,97.0,168.0
2,HC_LI,116.0,150.0
2,HC_LI,116.0,159.0
2,HC_LI,106.0,134.0
2,HC_LI,101.0,178.0
2,HC_LI,125.0,179.0
2,HC_LI,101.0,139.0
2,HC_LI,101.0,129.0
2,HC_LI,125.0,179.0
2,HC_LI,101.0,174.0
2,HC_LI,97.0,168.0
2,HC_LI,97.0,164.0
2,HC_LI,106.0,154.0
2,HC_LI,111.0,158.0
2,HC_LI,105.0,153.0
2,HC_LI,116.0,204.0
2,HC_LI,125.0,179.0
2,HC_LI,116.0,178.0
2,HC_LI,96.0,154.0
2,HC_LI,97.0,170.0
2,HC_LI,111.0,183.0
2,HC_LI,125.0,188.0
2,HC_LI,116.0,178.0
2,HC_LI,102.0,165.0
2,HC_LI,116.0,174.0
2,HC_LI,131.0,184.0
2,HC_LI,131.0,223.0
2,HC_LI,106.0,130.0
2,HC_LI,121.0,154.0
2,HC_LI,116.0,160.0
2,HC_LI,101.0,183.0
2,HC_LI,116.0,208.0
2,HC_LI,100.0,154.0
2,HC_LI,121.0,139.0
2,HC_LI,105.0,169.0
2,HC_LI,130.0,179.0
2,HC_LI,105.0,174.0
2,HC_LI,101.0,149.0
