config,capacities,total_cap,arm,makespan
homog_2-2-2,"[2, 2, 2]",6,HC_LI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,119.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,159.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,115.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,135.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,150.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,115.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,125.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,130.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,155.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,160.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,111.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,155.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,111.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,82.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,120.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,155.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,145.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,160.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,115.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,125.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,120.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,110.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,107.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,101.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,135.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,135.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,135.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,145.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,145.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,145.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,144.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,120.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,105.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,106.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,115.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,121.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,125.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,135.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,82.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,110.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,154.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,126.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,155.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,174.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,145.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,116.0
homog_2-2-2,"[2, 2, 2]",6,HC_LI,140.0
