cell,size,arm,policy,makespan
E2_c2|batched,6,favorable,P_fcfs,243.0
E2_c2|batched,6,favorable,P_fcfs,189.0
E2_c2|batched,6,favorable,P_fcfs,214.0
E2_c2|batched,6,favorable,P_fcfs,213.0
E2_c2|batched,6,favorable,P_fcfs,185.0
E2_c2|batched,6,favorable,P_fcfs,219.0
E2_c2|batched,6,favorable,P_fcfs,164.0
E2_c2|batched,6,favorable,P_fcfs,155.0
E2_c2|batched,6,favorable,P_fcfs,209.0
E2_c2|batched,6,favorable,P_fcfs,148.0
E2_c2|batched,6,favorable,P_fcfs,204.0
E2_c2|batched,6,favorable,P0,150.0
E2_c2|batched,6,favorable,P0,91.0
E2_c2|batched,6,favorable,P0,130.0
E2_c2|batched,6,favorable,P0,111.0
E2_c2|batched,6,favorable,P0,183.0
E2_c2|batched,6,favorable,P0,163.0
E2_c2|batched,6,favorable,P0,209.0
E2_c2|batched,6,favorable,P0,140.0
E2_c2|batched,6,favorable,P0,135.0
E2_c2|batched,6,favorable,P0,135.0
E2_c2|batched,6,favorable,P0,169.0
E2_c2|batched,6,favorable,P0,116.0
E2_c2|batched,6,favorable,P0,120.0
E2_c2|batched,6,favorable,P0,116.0
E2_c2|batched,6,favorable,P0,92.0
E2_c2|batched,6,favorable,P0,135.0
E2_c2|batched,6,favorable,P0,130.0
E2_c2|batched,6,favorable,P0,145.0
E2_c2|batched,6,favorable,P0,140.0
E2_c2|batched,6,favorable,P0,217.0
E2_c2|batched,6,favorable,P0,204.0
E2_c2|batched,6,favorable,P0,193.0
E2_c2|batched,6,favorable,P0,155.0
E2_c2|batched,6,favorable,P0,150.0
E2_c2|batched,6,favorable,P0,121.0
E2_c2|batched,6,favorable,P0,110.0
E2_c2|batched,6,favorable,P0,180.0
E2_c2|batched,6,favorable,P0,155.0
E2_c2|batched,6,favorable,P0,159.0
E2_c2|batched,6,favorable,P0,228.0
E2_c2|batched,6,favorable,P0,208.0
E2_c2|batched,6,favorable,P0,189.0
E2_c2|batched,6,favorable,P0,179.0
E2_c2|batched,6,favorable,P0,174.0
E2_c2|batched,6,favorable,P0,209.0
E2_c2|batched,6,favorable,P0,184.0
E2_c2|batched,6,favorable,P0,115.0
E2_c2|batched,6,favorable,P0,131.0
E2_c2|batched,6,favorable,P0,116.0
E2_c2|batched,6,favorable,P0,193.0
E2_c2|batched,6,favorable,P0,155.0
E2_c2|batched,6,favorable,P0,199.0
E2_c2|batched,6,favorable,P0,164.0
E2_c2|batched,6,favorable,P0,77.0
E2_c2|batched,6,favorable,P0,131.0
E2_c2|batched,6,favorable,P0,126.0
E2_c2|batched,6,favorable,P0,120.0
E2_c2|batched,6,favorable,P0,82.0
E2_c2|batched,6,favorable,P0,146.0
E2_c2|batched,6,favorable,P0,164.0
E2_c2|batched,6,favorable,P0,150.0
E2_c2|batched,6,favorable,P0,111.0
E2_c2|batched,6,favorable,P0,203.0
E2_c2|batched,6,favorable,P0,208.0
E2_c2|batched,6,favorable,P0,164.0
E2_c2|batched,6,favorable,P0,135.0
E2_c2|batched,6,favorable,P0,150.0
E2_c2|batched,6,favorable,P0,140.0
E2_c2|batched,6,favorable,P0,131.0
E2_c2|batched,6,favorable,P0,203.0
E2_c2|batched,6,favorable,P0,121.0
E2_c2|batched,6,favorable,P0,159.0
E2_c2|batched,6,favorable,P0,180.0
E2_c2|batched,6,favorable,P0,120.0
E2_c2|batched,6,favorable,P0,131.0
E2_c2|batched,6,favorable,P0,149.0
E2_c2|batched,6,favorable,P0,228.0
E2_c2|batched,6,favorable,P0,199.0
E2_c2|batched,6,favorable,P0,170.0
E2_c2|batched,6,favorable,P0,178.0
E2_c2|batched,6,favorable,P0,77.0
E2_c2|batched,6,favorable,P0,111.0
E2_c2|batched,6,favorable,P0,105.0
E2_c2|batched,6,favorable,P0,165.0
E2_c2|batched,6,favorable,P0,184.0
E2_c2|batched,6,favorable,P0,106.0
E2_c2|batched,6,favorable,P0,77.0
E2_c2|batched,6,favorable,P0,154.0
E2_c2|batched,6,favorable,P0,135.0
E2_c2|batched,6,favorable,P0,154.0
E2_c2|batched,6,favorable,P0,135.0
E2_c2|batched,6,favorable,P0,120.0
E2_c2|batched,6,favorable,P0,101.0
E2_c2|batched,6,favorable,P0,189.0
E2_c2|batched,6,favorable,P0,189.0
E2_c2|batched,6,favorable,P0,183.0
E2_c2|batched,6,favorable,P0,189.0
E2_c2|batched,6,favorable,P0,164.0
E2_c2|batched,6,favorable,P0,165.0
E2_c2|batched,6,favorable,P0,130.0
E2_c2|batched,6,favorable,P0,119.0
E2_c2|batched,6,favorable,P0,150.0
E2_c2|batched,6,favorable,P0,155.0
E2_c2|batched,6,favorable,P0,111.0
E2_c2|batched,6,favorable,P0,105.0
E2_c2|batched,6,favorable,P0,140.0
E2_c2|batched,6,favorable,P0,159.0
E2_c2|batched,6,favorable,P0,150.0
E2_c2|batched,6,favorable,P0,101.0
E2_c2|batched,6,favorable,P0,131.0
E2_c2|batched,6,favorable,P0,208.0
E2_c2|batched,6,favorable,P0,130.0
E2_c2|batched,6,favorable,P0,198.0
E2_c2|batched,6,favorable,P0,135.0
E2_c2|batched,6,favorable,P0,135.0
E2_c2|batched,6,favorable,P0,155.0
E2_c2|batched,6,favorable,P0,111.0
E2_c2|batched,6,favorable,P0,208.0
E2_c2|batched,6,favorable,P0,140.0
E2_c2|batched,6,favorable,P0,203.0
E2_c2|batched,6,favorable,P0,111.0
E2_c2|batched,6,favorable,P0,141.0
E2_c2|batched,6,favorable,P0,91.0
E2_c2|batched,6,favorable,P0,126.0
E2_c2|batched,6,favorable,P0,183.0
E2_c2|batched,6,favorable,P0,92.0
E2_c2|batched,6,favorable,P0,154.0
E2_c2|batched,6,favorable,P0,175.0
E2_c2|batched,6,favorable,P0,189.0
E2_c2|batched,6,favorable,P0,91.0
E2_c2|batched,6,favorable,P0,150.0
E2_c2|batched,6,favorable,P0,62.0
E2_c2|batched,6,favorable,P0,106.0
E2_c2|batched,6,favorable,P0,194.0
E2_c2|batched,6,favorable,P0,106.0
E2_c2|batched,6,favorable,P0,179.0
E2_c2|batched,6,favorable,P0,169.0
E2_c2|batched,6,favorable,P0,150.0
E2_c2|batched,6,favorable,P0,135.0
E2_c2|batched,6,favorable,P0,135.0
E2_c2|batched,6,favorable,P0,174.0
E2_c2|batched,6,favorable,P0,130.0
E2_c2|batched,6,favorable,P0,121.0
E2_c2|batched,6,favorable,P0,203.0
E2_c2|batched,6,favorable,P0,184.0
E2_c2|batched,6,favorable,P0,126.0
E2_c2|batched,6,favorable,P0,159.0
E2_c2|batched,6,favorable,P0,208.0
E2_c2|batched,6,favorable,P0,154.0
E2_c2|batched,6,favorable,P0,224.0
E2_c2|batched,6,favorable,P0,174.0
E2_c2|batched,6,favorable,P0,125.0
E2_c2|batched,6,favorable,P0,165.0
E2_c2|batched,6,favorable,P0,130.0
E2_c2|batched,6,favorable,P0,91.0
E2_c2|batched,6,favorable,P0,120.0
E2_c2|batched,6,favorable,P0,140.0
E2_c2|batched,6,favorable,P0,150.0
E2_c2|batched,6,favorable,P0,156.0
E2_c2|batched,6,favorable,P0,174.0
E2_c2|batched,6,favorable,P0,120.0
E2_c2|batched,6,favorable,P0,198.0
E2_c2|batched,6,favorable,P0,92.0
E2_c2|batched,6,favorable,P0,189.0
E2_c2|batched,6,favorable,P0,150.0
E2_c2|batched,6,favorable,P0,150.0
E2_c2|batched,6,favorable,P0,159.0
E2_c2|batched,6,favorable,P0,155.0
E2_c2|batched,6,favorable,P0,198.0
E2_c2|batched,6,favorable,P0,194.0
E2_c2|batched,6,favorable,P0,154.0
E2_c2|batched,6,favorable,P0,165.0
E2_c2|batched,6,favorable,P0,96.0
E2_c2|batched,6,favorable,P0,175.0
E2_c2|batched,6,favorable,P0,165.0
E2_c2|batched,6,favorable,P0,120.0
E2_c2|batched,6,favorable,P0,126.0
E2_c2|batched,6,favorable,P0,170.0
E2_c2|batched,6,favorable,P0,130.0
E2_c2|batched,6,favorable,P0,194.0
