regime,ref_model,arm,m_ref,m4
E1_c2,abstraction,HC_HI,208.0,267.0
E1_c2,abstraction,HC_HI,154.0,248.0
E1_c2,abstraction,HC_HI,131.0,219.0
E1_c2,abstraction,HC_HI,208.0,295.0
E1_c2,abstraction,HC_HI,155.0,242.0
E1_c2,abstraction,HC_HI,149.0,232.0
E1_c2,abstraction,HC_HI,198.0,258.0
E1_c2,abstraction,HC_HI,155.0,247.0
E1_c2,abstraction,HC_HI,208.0,271.0
E1_c2,abstraction,HC_HI,193.0,270.0
E1_c2,abstraction,HC_HI,159.0,220.0
E1_c2,abstraction,HC_HI,173.0,276.0
E1_c2,abstraction,HC_HI,159.0,232.0
E1_c2,abstraction,HC_HI,169.0,280.0
E1_c2,abstraction,HC_HI,164.0,242.0
E1_c2,abstraction,HC_HI,189.0,268.0
E1_c2,abstraction,HC_HI,179.0,254.0
E1_c2,abstraction,HC_HI,184.0,245.0
E1_c2,abstraction,HC_HI,223.0,290.0
E1_c2,abstraction,HC_HI,203.0,309.0
E1_c2,abstraction,HC_HI,135.0,242.0
E1_c2,abstraction,HC_HI,154.0,198.0
E1_c2,abstraction,HC_HI,134.0,192.0
E1_c2,abstraction,HC_HI,174.0,217.0
E1_c2,abstraction,HC_HI,169.0,252.0
E1_c2,abstraction,HC_HI,159.0,221.0
E1_c2,abstraction,HC_HI,209.0,288.0
E1_c2,abstraction,HC_HI,233.0,311.0
E1_c2,abstraction,HC_HI,204.0,237.0
E1_c2,abstraction,HC_HI,115.0,223.0
E1_c2,abstraction,HC_HI,198.0,247.0
E1_c2,abstraction,HC_HI,150.0,233.0
E1_c2,abstraction,HC_HI,150.0,199.0
E1_c2,abstraction,HC_HI,155.0,262.0
E1_c2,abstraction,HC_HI,208.0,277.0
E1_c2,abstraction,HC_HI,140.0,197.0
E1_c2,abstraction,HC_HI,218.0,293.0
E1_c2,abstraction,HC_HI,188.0,294.0
E1_c2,abstraction,HC_HI,140.0,227.0
E1_c2,abstraction,HC_HI,224.0,311.0
E1_c2,abstraction,HC_HI,193.0,270.0
E1_c2,abstraction,HC_HI,208.0,268.0
E1_c2,abstraction,HC_HI,135.0,212.0
E1_c2,abstraction,HC_HI,228.0,295.0
E1_c2,abstraction,HC_HI,148.0,207.0
