config_id,F,n_amrs,n_elevators,demand,size,scheme,corner,makespan
1,3,5,2,uniform,16,2x2_CI,C0_I0,194.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,195.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,202.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,189.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,214.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,190.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,245.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,237.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,175.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,203.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,217.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,165.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,122.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,175.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,171.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,137.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,199.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,160.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,199.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,161.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,199.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,204.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,190.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,208.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,180.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,184.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,170.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,137.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,193.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,204.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,185.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,151.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,212.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,212.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,214.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,159.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,261.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,180.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,293.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,110.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,180.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,207.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,152.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,174.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,179.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,132.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,184.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,147.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,233.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,223.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,210.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,239.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,156.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,147.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,170.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,239.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,179.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,180.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,182.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,237.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,141.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,183.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,200.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,192.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,173.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,184.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,260.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,157.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,183.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,181.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,185.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,156.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,245.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,222.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,252.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,170.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,202.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,127.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,214.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,211.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,176.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,208.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,157.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,189.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,171.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,208.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,258.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,199.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,132.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,132.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,171.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,228.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,132.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,195.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,174.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,199.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,190.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,146.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,169.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,208.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,136.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,104.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,223.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,190.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,137.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,209.0
1,3,5,2,uniform,16,2x2_CI,C0_I0,184.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,133.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,195.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,199.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,161.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,185.0
1,3,5,2,uniform,16,2x2_CI,C0_I1,188.0
