config_id,F,n_amrs,n_elevators,demand,size,arm,ops_policy,wave_id,makespan
1,3,5,2,uniform,8,random,cluster,108,105.0
1,3,5,2,uniform,8,random,cluster,109,66.0
1,3,5,2,uniform,8,random,cluster,110,109.0
1,3,5,2,uniform,8,random,cluster,111,134.0
1,3,5,2,uniform,8,random,cluster,112,134.0
1,3,5,2,uniform,8,random,cluster,113,99.0
1,3,5,2,uniform,8,random,cluster,114,95.0
1,3,5,2,uniform,8,random,cluster,115,100.0
1,3,5,2,uniform,8,random,cluster,116,86.0
1,3,5,2,uniform,8,random,cluster,117,115.0
1,3,5,2,uniform,8,random,cluster,118,80.0
1,3,5,2,uniform,8,random,cluster,119,75.0
1,3,5,2,uniform,8,random,cluster,120,95.0
1,3,5,2,uniform,8,random,cluster,121,90.0
1,3,5,2,uniform,8,random,cluster,122,76.0
1,3,5,2,uniform,8,random,cluster,123,109.0
1,3,5,2,uniform,8,random,cluster,124,99.0
1,3,5,2,uniform,8,random,cluster,125,90.0
1,3,5,2,uniform,8,random,cluster,126,75.0
1,3,5,2,uniform,8,random,cluster,127,95.0
1,3,5,2,uniform,8,random,cluster,128,70.0
1,3,5,2,uniform,8,random,cluster,129,90.0
1,3,5,2,uniform,8,random,cluster,130,114.0
1,3,5,2,uniform,8,random,cluster,131,86.0
1,3,5,2,uniform,8,random,cluster,132,104.0
1,3,5,2,uniform,8,random,cluster,133,66.0
1,3,5,2,uniform,8,random,cluster,134,119.0
1,3,5,2,uniform,8,random,cluster,135,61.0
1,3,5,2,uniform,8,random,cluster,136,91.0
1,3,5,2,uniform,8,random,cluster,137,120.0
1,3,5,2,uniform,8,random,cluster,138,66.0
1,3,5,2,uniform,8,random,cluster,139,66.0
1,3,5,2,uniform,8,random,cluster,140,114.0
1,3,5,2,uniform,8,random,cluster,141,80.0
1,3,5,2,uniform,8,random,cluster,142,105.0
1,3,5,2,uniform,8,random,cluster,143,104.0
1,3,5,2,uniform,8,random,cluster,144,109.0
1,3,5,2,uniform,8,random,cluster,145,70.0
1,3,5,2,uniform,8,random,cluster,146,75.0
1,3,5,2,uniform,8,random,cluster,147,90.0
1,3,5,2,uniform,8,random,cluster,148,76.0
1,3,5,2,uniform,8,random,cluster,149,66.0
1,3,5,2,uniform,8,random,cluster,150,94.0
1,3,5,2,uniform,8,random,cluster,151,104.0
1,3,5,2,uniform,8,random,cluster,152,71.0
1,3,5,2,uniform,8,random,cluster,153,85.0
1,3,5,2,uniform,8,random,cluster,154,72.0
1,3,5,2,uniform,8,random,cluster,155,114.0
1,3,5,2,uniform,8,random,cluster,156,71.0
1,3,5,2,uniform,8,random,cluster,157,108.0
1,3,5,2,uniform,8,random,cluster,158,81.0
1,3,5,2,uniform,8,random,cluster,159,76.0
1,3,5,2,uniform,8,random,cluster,160,81.0
1,3,5,2,uniform,8,random,cluster,161,85.0
1,3,5,2,uniform,8,random,cluster,162,80.0
1,3,5,2,uniform,8,random,cluster,163,71.0
1,3,5,2,uniform,8,random,cluster,164,123.0
1,3,5,2,uniform,8,random,cluster,165,80.0
1,3,5,2,uniform,8,random,cluster,166,105.0
1,3,5,2,uniform,8,random,cluster,167,104.0
1,3,5,2,uniform,8,random,cluster,168,123.0
1,3,5,2,uniform,8,random,cluster,169,56.0
1,3,5,2,uniform,8,random,cluster,170,124.0
1,3,5,2,uniform,8,random,cluster,171,95.0
1,3,5,2,uniform,8,random,cluster,172,85.0
1,3,5,2,uniform,8,random,cluster,173,104.0
1,3,5,2,uniform,8,random,cluster,174,129.0
1,3,5,2,uniform,8,random,cluster,175,90.0
1,3,5,2,uniform,8,random,cluster,176,94.0
1,3,5,2,uniform,8,random,cluster,177,100.0
1,3,5,2,uniform,8,random,cluster,178,62.0
1,3,5,2,uniform,8,random,cluster,179,123.0
1,3,5,2,uniform,8,random,cluster,180,81.0
1,3,5,2,uniform,8,random,cluster,181,95.0
1,3,5,2,uniform,8,random,cluster,182,137.0
1,3,5,2,uniform,8,random,cluster,183,110.0
1,3,5,2,uniform,8,random,cluster,184,71.0
1,3,5,2,uniform,8,random,cluster,185,104.0
1,3,5,2,uniform,8,random,cluster,186,119.0
1,3,5,2,uniform,8,random,cluster,187,57.0
1,3,5,2,uniform,8,random,cluster,188,66.0
1,3,5,2,uniform,8,random,cluster,189,100.0
1,3,5,2,uniform,8,random,cluster,190,81.0
1,3,5,2,uniform,8,random,cluster,191,133.0
1,3,5,2,uniform,8,random,cluster,192,76.0
1,3,5,2,uniform,8,random,cluster,193,108.0
1,3,5,2,uniform,8,random,cluster,194,95.0
1,3,5,2,uniform,8,random,cluster,195,99.0
1,3,5,2,uniform,8,random,cluster,196,94.0
1,3,5,2,uniform,8,random,cluster,197,66.0
1,3,5,2,uniform,8,random,cluster,198,76.0
1,3,5,2,uniform,8,random,cluster,199,66.0
1,3,5,2,uniform,8,phi_corner,fifo,0,119.0
1,3,5,2,uniform,8,phi_corner,fifo,1,119.0
1,3,5,2,uniform,8,phi_corner,fifo,2,118.0
1,3,5,2,uniform,8,phi_corner,fifo,3,76.0
1,3,5,2,uniform,8,phi_corner,fifo,4,71.0
1,3,5,2,uniform,8,phi_corner,fifo,5,80.0
1,3,5,2,uniform,8,phi_corner,fifo,6,100.0
1,3,5,2,uniform,8,phi_corner,fifo,7,142.0
1,3,5,2,uniform,8,phi_corner,fifo,8,124.0
1,3,5,2,uniform,8,phi_corner,fifo,9,72.0
1,3,5,2,uniform,8,phi_corner,fifo,10,85.0
1,3,5,2,uniform,8,phi_corner,fifo,11,99.0
1,3,5,2,uniform,8,phi_corner,fifo,12,109.0
1,3,5,2,uniform,8,phi_corner,fifo,13,66.0
1,3,5,2,uniform,8,phi_corner,fifo,14,113.0
1,3,5,2,uniform,8,phi_corner,fifo,15,100.0
1,3,5,2,uniform,8,phi_corner,fifo,16,138.0
1,3,5,2,uniform,8,phi_corner,fifo,17,104.0
1,3,5,2,uniform,8,phi_corner,fifo,18,76.0
1,3,5,2,uniform,8,phi_corner,fifo,19,109.0
1,3,5,2,uniform,8,phi_corner,fifo,20,86.0
1,3,5,2,uniform,8,phi_corner,fifo,21,103.0
1,3,5,2,uniform,8,phi_corner,fifo,22,118.0
1,3,5,2,uniform,8,phi_corner,fifo,23,71.0
1,3,5,2,uniform,8,phi_corner,fifo,24,76.0
1,3,5,2,uniform,8,phi_corner,fifo,25,57.0
1,3,5,2,uniform,8,phi_corner,fifo,26,119.0
1,3,5,2,uniform,8,phi_corner,fifo,27,72.0
1,3,5,2,uniform,8,phi_corner,fifo,28,99.0
1,3,5,2,uniform,8,phi_corner,fifo,29,100.0
1,3,5,2,uniform,8,phi_corner,fifo,30,113.0
1,3,5,2,uniform,8,phi_corner,fifo,31,109.0
1,3,5,2,uniform,8,phi_corner,fifo,32,76.0
1,3,5,2,uniform,8,phi_corner,fifo,33,67.0
1,3,5,2,uniform,8,phi_corner,fifo,34,109.0
1,3,5,2,uniform,8,phi_corner,fifo,35,109.0
1,3,5,2,uniform,8,phi_corner,fifo,36,133.0
1,3,5,2,uniform,8,phi_corner,fifo,37,71.0
1,3,5,2,uniform,8,phi_corner,fifo,38,76.0
1,3,5,2,uniform,8,phi_corner,fifo,39,80.0
1,3,5,2,uniform,8,phi_corner,fifo,40,75.0
1,3,5,2,uniform,8,phi_corner,fifo,41,117.0
1,3,5,2,uniform,8,phi_corner,fifo,42,80.0
1,3,5,2,uniform,8,phi_corner,fifo,43,99.0
1,3,5,2,uniform,8,phi_corner,fifo,44,109.0
1,3,5,2,uniform,8,phi_corner,fifo,45,72.0
1,3,5,2,uniform,8,phi_corner,fifo,46,81.0
